,STATE,RATE,pooled_rate,rate_label
0,AL,14.2,13.0,>=13
1,AK,7.3,7.3,7.3
2,AZ,7.5,7.5,7.5
3,AR,13.0,13.0,>=13
4,CA,6.1,6.1,6.1
5,CO,5.8,5.8,5.8
6,CT,4.6,4.6,4.6
7,DE,9.9,9.9,9.9
8,FL,7.8,7.8,7.8
9,GA,10.5,10.5,10.5
10,HI,3.3,3.3,3.3
11,ID,2.5,3.0,<=3
12,IL,11.2,11.2,11.2
13,IN,9.7,9.7,9.7
14,IA,3.6,3.6,3.6
15,KS,7.0,7.0,7.0
16,KY,9.5,9.5,9.5
17,LA,19.9,13.0,>=13
18,ME,1.6,3.0,<=3
19,MD,11.4,11.4,11.4
20,MA,2.7,3.0,<=3
21,MI,8.7,8.7,8.7
22,MN,3.6,3.6,3.6
23,MS,20.5,13.0,>=13
24,MO,14.0,13.0,>=13
25,MT,6.6,6.6,6.6
26,NE,4.1,4.1,4.1
27,NV,7.3,7.3,7.3
28,NH,0.0,3.0,<=3
29,NJ,4.3,4.3,4.3
30,NM,10.8,10.8,10.8
31,NY,4.7,4.7,4.7
32,NC,8.6,8.6,8.6
33,ND,4.4,4.4,4.4
34,OH,9.1,9.1,9.1
35,OK,9.0,9.0,9.0
36,OR,3.8,3.8,3.8
37,PA,8.5,8.5,8.5
38,RI,3.0,3.0,<=3
39,SC,12.7,12.7,12.7
40,SD,6.5,6.5,6.5
41,TN,11.5,11.5,11.5
42,TX,7.6,7.6,7.6
43,UT,2.9,3.0,<=3
44,VT,0.0,3.0,<=3
45,VA,6.4,6.4,6.4
46,WA,4.2,4.2,4.2
47,WV,7.0,7.0,7.0
48,WI,6.1,6.1,6.1
49,WY,4.9,4.9,4.9
