,STATE,RATE,diff_from_mean
0,AL,14.2,0.9194376858610435
1,AK,7.3,-0.01324682346580155
2,AZ,7.5,0.013787510137875145
3,AR,13.0,0.7572316842389836
4,CA,6.1,-0.17545282508786159
5,CO,5.8,-0.2160043254933766
6,CT,4.6,-0.3782103271154366
7,DE,9.9,0.3381995133819952
8,FL,7.8,0.054339010543390125
9,GA,10.5,0.4193025141930252
10,HI,3.3,-0.5539334955393349
11,ID,2.5,-0.6620708299540417
12,IL,11.2,0.5139226818058934
13,IN,9.7,0.3111651797783184
14,IA,3.6,-0.5133819951338199
15,KS,7.0,-0.053798323871316535
16,KY,9.5,0.28413084617464185
17,LA,19.9,1.6899161935658285
18,ME,1.6,-0.7837253311705867
19,MD,11.4,0.5409570154095703
20,MA,2.7,-0.635036496350365
21,MI,8.7,0.17599351175993508
22,MN,3.6,-0.5133819951338199
23,MS,20.5,1.7710191943768587
24,MO,14.0,0.8924033522573669
25,MT,6.6,-0.10786699107866993
26,NE,4.1,-0.4457961611246283
27,NV,7.3,-0.01324682346580155
28,NH,0.0,-1.0
29,NJ,4.3,-0.4187618275209516
30,NM,10.8,0.4598540145985403
31,NY,4.7,-0.3646931603135982
32,NC,8.6,0.1624763449580968
33,ND,4.4,-0.4052446607191132
34,OH,9.1,0.23006217896728845
35,OK,9.0,0.21654501216545016
36,OR,3.8,-0.4863476615301433
37,PA,8.5,0.1489591781562585
38,RI,3.0,-0.5944849959448499
39,SC,12.7,0.7166801838334684
40,SD,6.5,-0.12138415788050821
41,TN,11.5,0.5544741822114085
42,TX,7.6,0.027304676939713432
43,UT,2.9,-0.6080021627466883
44,VT,0.0,-1.0
45,VA,6.4,-0.1349013246823465
46,WA,4.2,-0.4322789943227899
47,WV,7.0,-0.053798323871316535
48,WI,6.1,-0.17545282508786159
49,WY,4.9,-0.33765882670992153
